,date,opera,language,composer,artist_popularity
715,2011-05-14,Orfeo ed Euridice,Italian,Gluck,21
716,2011-06-04,La Bohème,Italian,Puccini,235
717,2011-06-08,La Bohème,Italian,Puccini,235
718,2011-06-09,Lucia di Lammermoor,Italian,Donizetti,132
719,2011-06-11,La Bohème,Italian,Puccini,235
720,2011-06-12,Lucia di Lammermoor,Italian,Donizetti,90
721,2011-06-16,Lucia di Lammermoor,Italian,Donizetti,111
722,2011-06-17,La Bohème,Italian,Puccini,214
723,2011-06-19,La Bohème,Italian,Puccini,214
724,2011-06-19,Lucia di Lammermoor,Italian,Donizetti,111
725,2011-09-26,Anna Bolena,Italian,Donizetti,107
726,2011-09-27,Nabucco,Italian,Verdi,94
727,2011-09-30,Anna Bolena,Italian,Donizetti,107
728,2011-10-01,Il Barbiere di Siviglia,Italian,Rossini,196
729,2011-10-01,Nabucco,Italian,Verdi,95
730,2011-10-03,Anna Bolena,Italian,Donizetti,107
731,2011-10-04,Il Barbiere di Siviglia,Italian,Rossini,196
732,2011-10-05,Nabucco,Italian,Verdi,92
733,2011-10-06,Anna Bolena,Italian,Donizetti,107
734,2011-10-08,Il Barbiere di Siviglia,Italian,Rossini,196
735,2011-10-08,Nabucco,Italian,Verdi,92
736,2011-10-10,Anna Bolena,Italian,Donizetti,107
737,2011-10-11,Il Barbiere di Siviglia,Italian,Rossini,135
738,2011-10-12,Nabucco,Italian,Verdi,92
739,2011-10-13,Don Giovanni,Italian,Mozart,252
740,2011-10-14,Il Barbiere di Siviglia,Italian,Rossini,135
741,2011-10-15,Anna Bolena,Italian,Donizetti,107
742,2011-10-15,Nabucco,Italian,Verdi,92
743,2011-10-17,Don Giovanni,Italian,Mozart,148
744,2011-10-18,Anna Bolena,Italian,Donizetti,97
745,2011-10-19,Il Barbiere di Siviglia,Italian,Rossini,135
746,2011-10-20,Nabucco,Italian,Verdi,92
747,2011-10-21,Anna Bolena,Italian,Donizetti,63
748,2011-10-22,Don Giovanni,Italian,Mozart,148
749,2011-10-22,Il Barbiere di Siviglia,Italian,Rossini,148
750,2011-10-24,Anna Bolena,Italian,Donizetti,67
751,2011-10-25,Don Giovanni,Italian,Mozart,89
752,2011-10-26,Il Barbiere di Siviglia,Italian,Rossini,123
753,2011-10-27,Siegfried,German,Wagner,207
754,2011-10-28,Anna Bolena,Italian,Donizetti,67
755,2011-10-29,Don Giovanni,Italian,Mozart,89
756,2011-10-29,Il Barbiere di Siviglia,Italian,Rossini,122
757,2011-10-31,Don Giovanni,Italian,Mozart,89
758,2011-11-01,Siegfried,German,Wagner,207
759,2011-11-02,Nabucco,Italian,Verdi,95
760,2011-11-03,Don Giovanni,Italian,Mozart,89
761,2011-11-05,Nabucco,Italian,Verdi,16
762,2011-11-05,Siegfried,German,Wagner,207
763,2011-11-07,Don Giovanni,Italian,Mozart,56
764,2011-11-09,Nabucco,Italian,Verdi,16
765,2011-11-11,Don Giovanni,Italian,Mozart,89
766,2011-11-12,Nabucco,Italian,Verdi,16
767,2011-11-14,Rodelinda,Italian,Handel,207
768,2011-11-17,Nabucco,Italian,Verdi,9
769,2011-11-18,La Bohème,Italian,Puccini,222
770,2011-11-19,Rodelinda,Italian,Handel,161
771,2011-11-22,La Bohème,Italian,Puccini,180
772,2011-11-23,Rodelinda,Italian,Handel,161
773,2011-11-25,La Bohème,Italian,Puccini,166
774,2011-11-26,Rodelinda,Italian,Handel,161
775,2011-11-28,La Bohème,Italian,Puccini,166
776,2011-11-29,Faust,French,Gounod,95
777,2011-11-30,Rodelinda,Italian,Handel,161
778,2011-12-02,La Bohème,Italian,Puccini,166
779,2011-12-03,Faust,French,Gounod,95
780,2011-12-03,Rodelinda,Italian,Handel,161
781,2011-12-06,Faust,French,Gounod,95
782,2011-12-07,Rodelinda,Italian,Handel,161
783,2011-12-08,La Bohème,Italian,Puccini,166
784,2011-12-10,Faust,French,Gounod,95
785,2011-12-10,Rodelinda,Italian,Handel,161
786,2011-12-13,Faust,French,Gounod,95
787,2011-12-16,Hänsel und Gretel,German,Humperdinck,75
788,2011-12-17,Faust,French,Gounod,78
789,2011-12-20,Faust,French,Gounod,78
790,2011-12-21,Hänsel und Gretel,German,Humperdinck,75
791,2011-12-23,Faust,French,Gounod,64
792,2011-12-24,Hänsel und Gretel,German,Humperdinck,75
793,2011-12-26,Hänsel und Gretel,German,Humperdinck,81
794,2011-12-28,Faust,French,Gounod,64
795,2011-12-29,Hänsel und Gretel,German,Humperdinck,61
796,2011-12-30,Hänsel und Gretel,German,Humperdinck,81
797,2012-01-03,Hänsel und Gretel,German,Humperdinck,81
798,2012-01-05,Faust,French,Gounod,61
799,2012-01-07,Hänsel und Gretel,German,Humperdinck,81
800,2012-01-09,Faust,French,Gounod,99
801,2012-01-10,Tosca,Italian,Puccini,93
802,2012-01-13,Faust,French,Gounod,98
803,2012-01-14,Tosca,Italian,Puccini,93
804,2012-01-16,Faust,French,Gounod,98
805,2012-01-18,Tosca,Italian,Puccini,155
806,2012-01-19,Faust,French,Gounod,98
807,2012-01-21,Tosca,Italian,Puccini,155
808,2012-01-24,Tosca,Italian,Puccini,155
809,2012-01-28,Tosca,Italian,Puccini,133
810,2012-02-01,Anna Bolena,Italian,Donizetti,107
811,2012-02-02,Ernani,Italian,Verdi,52
812,2012-02-04,Anna Bolena,Italian,Donizetti,107
813,2012-02-04,Il Barbiere di Siviglia,Italian,Rossini,132
814,2012-02-06,Ernani,Italian,Verdi,52
815,2012-02-08,Il Barbiere di Siviglia,Italian,Rossini,132
816,2012-02-09,Aida,Italian,Verdi,136
817,2012-02-10,Ernani,Italian,Verdi,52
818,2012-02-11,Il Barbiere di Siviglia,Italian,Rossini,132
819,2012-02-13,Aida,Italian,Verdi,136
820,2012-02-14,Ernani,Italian,Verdi,50
821,2012-02-15,Il Barbiere di Siviglia,Italian,Rossini,132
822,2012-02-16,Aida,Italian,Verdi,136
823,2012-02-18,Ernani,Italian,Verdi,50
824,2012-02-18,Il Barbiere di Siviglia,Italian,Rossini,132
825,2012-02-20,Aida,Italian,Verdi,136
826,2012-02-21,Don Giovanni,Italian,Mozart,131
827,2012-02-23,Aida,Italian,Verdi,136
828,2012-02-24,Don Giovanni,Italian,Mozart,131
829,2012-02-25,Ernani,Italian,Verdi,50
830,2012-02-28,Aida,Italian,Verdi,123
831,2012-02-29,Don Giovanni,Italian,Mozart,131
832,2012-03-03,Aida,Italian,Verdi,124
833,2012-03-03,Don Giovanni,Italian,Mozart,131
834,2012-03-07,Don Giovanni,Italian,Mozart,174
835,2012-03-10,Don Giovanni,Italian,Mozart,174
836,2012-03-14,Don Giovanni,Italian,Mozart,174
837,2012-03-15,Macbeth,Italian,Verdi,93
838,2012-03-17,Don Giovanni,Italian,Mozart,174
839,2012-03-20,Macbeth,Italian,Verdi,93
840,2012-03-24,Macbeth,Italian,Verdi,93
841,2012-03-26,Manon,French,Massenet,267
842,2012-03-29,Macbeth,Italian,Verdi,56
843,2012-03-31,Manon,French,Massenet,126
844,2012-04-02,Macbeth,Italian,Verdi,93
845,2012-04-03,Manon,French,Massenet,126
846,2012-04-04,Das Rheingold,German,Wagner,200
847,2012-04-05,Macbeth,Italian,Verdi,93
848,2012-04-06,La Traviata,Italian,Verdi,125
849,2012-04-07,Manon,French,Massenet,126
850,2012-04-09,Macbeth,Italian,Verdi,93
851,2012-04-10,La Traviata,Italian,Verdi,128
852,2012-04-11,Manon,French,Massenet,126
853,2012-04-14,La Traviata,Italian,Verdi,128
854,2012-04-14,Manon,French,Massenet,76
855,2012-04-17,Manon,French,Massenet,76
856,2012-04-18,La Traviata,Italian,Verdi,128
857,2012-04-20,Manon,French,Massenet,76
858,2012-04-21,La Traviata,Italian,Verdi,91
859,2012-04-23,Manon,French,Massenet,76
860,2012-04-25,La Traviata,Italian,Verdi,128
861,2012-04-28,La Traviata,Italian,Verdi,128
862,2012-05-02,La Traviata,Italian,Verdi,125
863,2012-05-04,Billy Budd,English,Britten,200
864,2012-05-10,Billy Budd,English,Britten,156
865,2012-05-12,Billy Budd,English,Britten,156
866,2012-09-26,Turandot,Italian,Puccini,140
867,2012-09-28,Carmen,French,Bizet,90
868,2012-09-29,Il Trovatore,Italian,Verdi,38
869,2012-09-29,Turandot,Italian,Puccini,140
870,2012-10-02,Carmen,French,Bizet,90
871,2012-10-03,Turandot,Italian,Puccini,140
872,2012-10-04,Il Trovatore,Italian,Verdi,66
873,2012-10-06,Carmen,French,Bizet,90
874,2012-10-06,Turandot,Italian,Puccini,140
875,2012-10-08,Il Trovatore,Italian,Verdi,34
876,2012-10-09,Otello,Italian,Rossini,101
877,2012-10-09,Otello,Italian,Verdi,101
